rank,feature_index,target_label,target_subtype,target_n,other_n,target_mean,other_mean,target_minus_others,specificity_z,p_value,fdr,feature_name,gene_symbol,entrez_id
219,485,2,HER2-enriched,46,829,0.1632843114653633,0.13424148179619724,0.029042829669166048,0.46057895766683365,,,KIF4B|285643,KIF4B,285643
220,142,2,HER2-enriched,46,829,0.5996300686472036,0.5842919724872389,0.015338096159964731,0.45801846134211655,,,CACYBP|27101,CACYBP,27101
221,553,2,HER2-enriched,46,829,0.5624839426524125,0.5344445910497728,0.028039351602639706,0.4566362947354272,,,MCM2|4171,MCM2,4171
222,272,2,HER2-enriched,46,829,0.5777491380010803,0.5621293166853056,0.015619821315774662,0.45659996821035853,,,DNAJB11|51726,DNAJB11,51726
223,339,2,HER2-enriched,46,829,0.3155210482996838,0.2766868524787362,0.038834195820947603,0.45563175778089715,,,FAM72D|728833,FAM72D,728833
224,486,2,HER2-enriched,46,829,0.49794625189746144,0.4537745349720683,0.04417171692539312,0.4548017225648091,,,KIFC1|3833,KIFC1,3833
225,925,2,HER2-enriched,46,829,0.06383741712290784,0.03669722318942053,0.027140193933487315,0.44901864147931025,,,TRIML2|205860,TRIML2,205860
226,897,2,HER2-enriched,46,829,0.39255538618483715,0.3784485885009521,0.014106797683885064,0.4489499450130437,,,TIMM8A|1678,TIMM8A,1678
227,43,2,HER2-enriched,46,829,0.46814112723018014,0.4356937864840403,0.03244734074613986,0.44882815699517387,,,ARHGAP11A|9824,ARHGAP11A,9824
228,863,2,HER2-enriched,46,829,0.6480082858752952,0.6213378395996763,0.026670446275618986,0.4478210358407924,,,STMN1|3925,STMN1,3925
229,292,2,HER2-enriched,46,829,0.5061116837155835,0.48564823324766876,0.0204634504679147,0.4477953277100101,,,E2F3|1871,E2F3,1871
230,210,2,HER2-enriched,46,829,0.5444139635165863,0.5238117430062933,0.020602220510293034,0.44641723987080983,,,CKS1B|1163,CKS1B,1163
231,338,2,HER2-enriched,46,829,0.3718711039142669,0.33520752877860616,0.036663575135660764,0.44625000534372494,,,FAM72B|653820,FAM72B,653820
232,747,2,HER2-enriched,46,829,0.4814486767027665,0.4610984685133921,0.020350208189374386,0.4456681177697902,,,RFC4|5984,RFC4,5984
233,900,2,HER2-enriched,46,829,0.057610011148885844,0.02396343654296636,0.03364657460591948,0.44566667865829107,,,TLX3|30012,TLX3,30012
234,651,2,HER2-enriched,46,829,0.6173070100800593,0.5975509174987418,0.019756092581317497,0.44428009731164236,,,PCNA|5111,PCNA,5111
235,819,2,HER2-enriched,46,829,0.4447506572160158,0.42546846355125834,0.019282193664757474,0.443177930317571,,,SLC25A19|60386,SLC25A19,60386
