projection_1,projection_2,projection_method,subtype_id,subtype,Luminal subtype signature,HER2-enriched subtype signature,Basal-like subtype signature
-6.1339903,10.504791,PCA,4,Normal-like,-1.265431886832965,0.029386769053327905,0.14155372431132596
-5.9855294,5.8155885,PCA,4,Normal-like,-0.7701269573507807,-0.30028136314287784,0.3021834682462887
-4.7028832,-4.8027673,PCA,3,Basal-like,-0.001873567392125207,0.19388128995854645,0.061417712220970255
-6.299973,0.9942875,PCA,3,Basal-like,-0.6018287251801648,-0.09223038135999258,0.5915463269154844
-7.5108175,8.157803,PCA,3,Basal-like,-0.8877584459796023,-0.38634557283683457,1.3419766237001398
-6.2227597,12.184862,PCA,4,Normal-like,-1.0838450076380488,-0.10342846756226927,0.2710052714171297
-5.7949758,-2.884988,PCA,3,Basal-like,-0.3687096075335167,-0.41717678264217894,0.7362935634199363
1.0536853,-4.409042,PCA,4,Normal-like,0.26127432041919674,-0.6374925247137828,-0.6584920810961146
-3.997173,-5.8023477,PCA,3,Basal-like,-0.2269451144102954,-0.43133203409917426,0.3031963588629973
-4.9575186,-5.0241923,PCA,3,Basal-like,-0.2670885239897731,-0.39869611880120154,0.5274024595255118
-4.6879325,6.2417245,PCA,4,Normal-like,-0.6116793067639393,1.0348913676452254,-0.07935689307402433
-1.0712641,9.658606,PCA,2,HER2-enriched,-0.7867700531405589,0.22314112473832942,-0.5232375525516539
32.27953,5.7827353,PCA,1,Luminal B,1.9887416643205356,0.849438308072837,-1.7980784248453243
0.057959616,-5.2947774,PCA,3,Basal-like,1.216203078074426,-0.23579478972924087,-0.3854251688389892
-6.416681,-1.7819266,PCA,3,Basal-like,-0.16893185865428748,-0.21098151374267154,0.5710206157318639
-3.612056,-6.326392,PCA,3,Basal-like,0.05770451851431535,0.009946308641079472,0.09586605771164058
-3.7694116,-4.1540165,PCA,3,Basal-like,-0.36430110757599016,0.24656193063734266,0.4241328583893998
2.7878106,-3.7578537,PCA,3,Basal-like,0.9286483282772432,-0.236674962441197,-0.3015960255863125
-0.13834731,-5.1719103,PCA,3,Basal-like,1.0815750551982555,-0.16985765885555562,-0.0992339827424982
-8.079292,17.074926,PCA,4,Normal-like,-0.926264629063027,-0.45991484347284906,1.236532522727793
