feature_index,score,feature_name
206,0.09916218667356595,hsa-mir-30c-1
343,0.09820561571685266,hsa-mir-433
277,0.09788702485560516,hsa-mir-3647
372,0.09751116069291928,hsa-mir-503
472,0.09725558909692819,hsa-mir-758
108,0.09632537561941328,hsa-mir-15a
49,0.09625789523141919,hsa-mir-1270-1
341,0.096113975114983,hsa-mir-432
66,0.09576964903246668,hsa-mir-1295
291,0.09572071813966952,hsa-mir-3678
236,0.09528859096740652,hsa-mir-320b-2
50,0.09512122369589392,hsa-mir-1270-2
308,0.09501731338634525,hsa-mir-376c
271,0.09407268469731067,hsa-mir-3615
118,0.09319957344681719,hsa-mir-181d
268,0.0928894680768339,hsa-mir-3610
445,0.09229411917301358,hsa-mir-629
344,0.09200110547210873,hsa-mir-449a
19,0.09193306436630723,hsa-mir-106a
339,0.09189417968314521,hsa-mir-429
196,0.09144336945523507,hsa-mir-29a
427,0.09094633852479932,hsa-mir-580
358,0.08935303589423196,hsa-mir-487b
59,0.08822856182301976,hsa-mir-1287
332,0.08701311794540859,hsa-mir-411
474,0.08667384931053389,hsa-mir-765
302,0.0857778846167387,hsa-mir-374b
155,0.08535911516773928,hsa-mir-205
416,0.0847542957101936,hsa-mir-550a-2
274,0.08440989681909832,hsa-mir-3620
134,0.08431404495647322,hsa-mir-193b
29,0.08392276642055754,hsa-mir-1224
356,0.08352660619528376,hsa-mir-486
47,0.08337470009313458,hsa-mir-1269
254,0.08308506431604254,hsa-mir-339
87,0.080839862172563,hsa-mir-141
121,0.08049143238172982,hsa-mir-184
246,0.08032807662026945,hsa-mir-328
345,0.08007862718635636,hsa-mir-449b
48,0.07996564621585517,hsa-mir-127
96,0.07922547346694662,hsa-mir-148a
165,0.07917057017612361,hsa-mir-212
466,0.0790433006371052,hsa-mir-676
117,0.07847710303124592,hsa-mir-181c
331,0.0779764261040716,hsa-mir-410
133,0.07746687892167742,hsa-mir-193a
353,0.07707263040009173,hsa-mir-483
357,0.07673935135195648,hsa-mir-487a
421,0.0761998786471457,hsa-mir-561
281,0.07513311268672354,hsa-mir-3651
328,0.07428280275087111,hsa-mir-3942
299,0.07406984531054103,hsa-mir-370
106,0.07382248613439515,hsa-mir-154
189,0.07369074741394697,hsa-mir-26a-2
340,0.07303386844924267,hsa-mir-431
282,0.07239767894571586,hsa-mir-3652
359,0.0722053038108201,hsa-mir-488
289,0.07200315409824047,hsa-mir-3676
482,0.07175236715716969,hsa-mir-889
451,0.07124119655496781,hsa-mir-643
363,0.07081890970830719,hsa-mir-494
231,0.07046731629270013,hsa-mir-3199-1
185,0.07036913105090888,hsa-mir-24-1
395,0.06973782093509087,hsa-mir-520a
194,0.06956447272905421,hsa-mir-296
251,0.06956367362161593,hsa-mir-335
469,0.06924642475985024,hsa-mir-7-3
280,0.06913028713236408,hsa-mir-365-2
349,0.06899385712888881,hsa-mir-451
222,0.06893287986411631,hsa-mir-3174
245,0.06859394379284459,hsa-mir-326
399,0.06847792876287401,hsa-mir-526b
230,0.06839814563359592,hsa-mir-3194
149,0.06825149704103625,hsa-mir-200a
468,0.0669397545187151,hsa-mir-7-2
37,0.06646938231860396,hsa-mir-1251
60,0.0663036464546457,hsa-mir-1288
279,0.06628890022951003,hsa-mir-365-1
77,0.06624484503936515,hsa-mir-134
179,0.06575661240457388,hsa-mir-2276
35,0.06574622926580538,hsa-mir-1248
431,0.06550190848842312,hsa-mir-585
322,0.06531762353589128,hsa-mir-3926-1
456,0.06508332516230338,hsa-mir-655
11,0.06423736773755785,hsa-mir-1-2
297,0.06421387589513186,hsa-mir-3690
227,0.06395408704366073,hsa-mir-3190
52,0.06339962360245609,hsa-mir-1274b
296,0.06285433902237529,hsa-mir-369
452,0.06284468762383678,hsa-mir-651
355,0.062690948572762,hsa-mir-485
207,0.061763489381706026,hsa-mir-30c-2
263,0.06171769714056516,hsa-mir-34c
