feature_index,score,feature_name
617,0.4819077476821734,NPM2|10361
315,0.4812516163983501,F7|2155
57,0.48090470814328246,ATP7B|540
714,0.48063858112690233,PTPRT|11122
543,0.47945429894679165,MAML3|55534
713,0.4787504250363127,PTPN2|5771
860,0.47870592579196797,STIL|6491
461,0.4786849560598546,KCNS1|3787
393,0.478581381681228,GOLGA1|2800
537,0.4785445380212014,MAD2L1|4085
483,0.47853367548545106,KIF2C|11004
814,0.47832704445274327,SLC16A6|9120
18,0.4782750749262814,ADCY9|115
26,0.47823932849952483,AMD1|262
618,0.4778502745280389,NPNT|255743
189,0.4776571737863565,CENPE|1062
258,0.4775434110829144,DBF4|10926
623,0.47727371819059844,NT5DC2|64943
191,0.47696798684551384,CENPL|91687
198,0.47658722953159166,CHAD|1101
719,0.47654902353808193,PVR|5817
802,0.4763594562174451,SGOL1|151648
79,0.4760126535115841,BTG3|10950
608,0.47561028716148446,NEK9|91754
262,0.47542595270972454,DEK|7913
673,0.4751247511340389,PIF1|80119
520,0.4749840513589747,LOC285629|285629
337,0.4748771959354695,FAM72A|729533
631,0.47411716492767125,NXNL2|158046
770,0.47363443516907844,RRP1B|23076
509,0.47302580736296496,LIMA1|51474
58,0.4727319908462765,ATP8B1|5205
731,0.4725760530401435,RANBP1|5902
965,0.47247286410552497,VIPR1|7433
794,0.47246474421087137,SERBP1|26135
759,0.4724595134136899,RNASE4|6038
971,0.47222201865068336,WDR93|56964
342,0.47181852311046113,FANCB|2187
767,0.47125361421920303,RPH3AL|9501
222,0.47105952372812904,CNTNAP3|79937
846,0.47105578349258237,SPAG5|10615
585,0.4710070534171939,MYBL2|4605
720,0.47059824629085784,RAB5B|5869
99,0.4704725094924455,C16orf61|56942
321,0.4702483262462695,FAM123B|139285
514,0.4700622255490611,LOC100127888|100127888
318,0.47001442008754457,FAF1|11124
792,0.4695330565875422,SEPHS1|22929
734,0.46948017151033133,RARA|5914
772,0.46918895495098295,RTN4RL1|146760
163,0.4689624206024012,CCNB1|891
492,0.4686080160464514,KLK6|5653
710,0.4685939339441742,PTCHD1|139411
779,0.46810535695376476,SCN2B|6327
74,0.46795330800668683,BIRC5|332
923,0.4677272164350421,TRIM3|10612
78,0.4674600835173719,BTG2|7832
264,0.46683588499483336,DEPDC1|55635
793,0.46599194922925263,SEPSECS|51091
159,0.4654550414487576,CCDC96|257236
733,0.46533558584035817,RAPGEF3|10411
11,0.4651863888907113,ACE2|59272
903,0.4651170908769223,TMC5|79838
418,0.4646177707914585,HDGF|3068
414,0.46420458471787734,GTSE1|51512
240,0.4641670918259873,CX3CL1|6376
861,0.4639486219777637,STK32B|55351
417,0.46376205589809166,HDAC2|3066
678,0.4635765270520064,PNMA3|29944
136,0.4631394790840728,C9orf64|84267
164,0.46289919054513723,CCNB2|9133
497,0.462296397186846,KRT6B|3854
661,0.4622704814037493,PGBD5|79605
992,0.46217435816577057,ZNF396|252884
858,0.461854739395404,ST8SIA1|6489
400,0.4615566285207606,GPR156|165829
833,0.4613718613273191,SLC7A2|6542
394,0.46049462490970156,GP2|2813
440,0.46033810309293527,IL34|146433
402,0.4603068525826225,GPR161|23432
341,0.45972834923213735,FANCA|2175
671,0.4595731002498896,PHYHD1|254295
320,0.45951911274711293,FAM120AOS|158293
682,0.45942564181645146,POLQ|10721
561,0.459188265306315,MELK|9833
535,0.45897610358921676,LYAR|55646
979,0.45896588720621617,YARS|8565
942,0.45896072259964077,TUBA1C|84790
557,0.45848388240924515,MCM7|4176
292,0.45831521532388214,E2F3|1871
312,0.4581552200538577,EXO1|9156
695,0.4580816153686317,PRIM2|5558
969,0.45793132766837974,WDR67|93594
427,0.45788018198764996,HRK|8739
183,0.45785512853507176,CDK1|983
95,0.4575567474107114,C15orf23|90417
586,0.4572962533462775,MYH11|4629
954,0.4572699337998985,UCK2|7371
28,0.45708315387096554,ANKLE1|126549
810,0.45681780520961784,SKP1|6500
726,0.4566621190436123,RAD54L|8438
701,0.4564882105288166,PRSS12|8492
